"","name","price","latitude","longitude"
"311","Flour Bakery & Cafe",2,42.338443,-71.074548
"312","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"313","Haley House Bakery Café",1,42.33204,-71.08253
"314","The Salty Pig",2,42.346881,-71.076121
"315","Picco",2,42.3448751089207,-71.0705310984679
"316","El Pelón Taquería",1,42.3432217195996,-71.0989652411179
"317","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"318","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"319","The Capital Grille",4,42.3478110031284,-71.0851110928626
"320","The Beehive",2,42.3446991683707,-71.0713935252701
"321","Flour Bakery + Café",2,42.35137,-71.04881
"322","Row 34",3,42.3495808510305,-71.0475044128162
"323","Mike's City Diner",1,42.33688,-71.07604
"324","Sam LaGrassa's",2,42.35689,-71.05994
"325","Life Alive",2,42.366593014329,-71.105495948582
"326","Oleana Restaurant",3,42.37055,-71.09713
"327","Modern Pastry Shop",1,42.36324,-71.05474
"328","Mistral",4,42.3481578332115,-71.072759141675
"329","Craigie On Main",4,42.3634817952265,-71.0986128859795
"330","O Ya",4,42.3514083135866,-71.056866645813
"331","Barcelona Brookline",3,42.3387152,-71.1389332
"332","L'Espalier",4,42.3489650343414,-71.0809740424965
"333","Regina Pizza",2,42.3654185550275,-71.0568833173494
"334","Pho Basil",2,42.3457679748535,-71.0873718261719
"335","Myers & Chang",2,42.3438187315924,-71.066250270967
"336","Flour Bakery + Café",2,42.3482569197856,-71.0738261386231
"337","Thinking Cup",2,42.3539,-71.06372
"338","Drink",3,42.35067,-71.04846
"339","B&G Oysters",3,42.34388,-71.07123
"340","James Hook & Co",2,42.3549617,-71.0509737
"341","Abe & Louie's",3,42.3492240905762,-71.0815887451172
"342","Render Coffee",1,42.3411102,-71.0815582
"343","Café Luna",2,42.362925,-71.094225
"344","Parish Cafe and Bar",2,42.351822284275,-71.071625035216
"345","Orinoco",2,42.33892,-71.07596
"346","Avana Sushi",1,42.3515433311481,-71.0609420250346
"347","Coppa",3,42.3434049842376,-71.0684599315418
"348","Chilacates Mexican Street Food",1,42.31635,-71.10315
"349","Giacomo's",2,42.34406,-71.077732
"350","Cuchi Cuchi",3,42.36334,-71.09713
"351","Toro",3,42.3369631861411,-71.0758940796503
"352","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"353","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"354","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"355","Mike & Patty's",1,42.348561,-71.067928
"356","Gaslight",2,42.3409677894859,-71.0673901926598
"357","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"358","Giacomo's Ristorante",2,42.36458,-71.05344
"359","Flour Bakery & Cafe",2,42.338443,-71.074548
"360","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"361","Picco",2,42.3448751089207,-71.0705310984679
"362","The Salty Pig",2,42.346881,-71.076121
"363","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"364","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"365","El Pelón Taquería",1,42.3432217195996,-71.0989652411179
"366","The Capital Grille",4,42.3478110031284,-71.0851110928626
"367","The Beehive",2,42.3446991683707,-71.0713935252701
"368","Chilacates Mexican Street Food",1,42.31635,-71.10315
"369","Mistral",4,42.3481578332115,-71.072759141675
"370","Myers & Chang",2,42.3438187315924,-71.066250270967
"371","Arnold Arboretum",NA,42.299889474,-71.122416281924
"372","Flour Bakery + Café",2,42.3482569197856,-71.0738261386231
"373","L'Espalier",4,42.3489650343414,-71.0809740424965
"374","Pho Basil",2,42.3457679748535,-71.0873718261719
"375","Ten Tables",3,42.314933658972,-71.114245396185
"376","Cafe Polonia",2,42.32878,-71.05712
"377","Blunch",1,42.3354929990873,-71.0747301578522
"378","B&G Oysters",3,42.34388,-71.07123
"379","Toscanini's Ice Cream",2,42.366042,-71.078206
"380","Abe & Louie's",3,42.3492240905762,-71.0815887451172
"381","Coppa",3,42.3434049842376,-71.0684599315418
"382","The Haven",2,42.32168,-71.11038
"383","Render Coffee",1,42.3411102,-71.0815582
"384","Flour Bakery + Café",2,42.35137,-71.04881
"385","Orinoco",2,42.33892,-71.07596
"386","Row 34",3,42.3495808510305,-71.0475044128162
"387","Giacomo's",2,42.34406,-71.077732
"388","Barcelona Brookline",3,42.3387152,-71.1389332
"389","Sam LaGrassa's",2,42.35689,-71.05994
"390","Modern Pastry Shop",1,42.36324,-71.05474
"391","Sweet Cheeks Q",2,42.343898,-71.101103
"392","Haley House Bakery Café",1,42.33204,-71.08253
"393","Life Alive",2,42.366593014329,-71.105495948582
"394","Oleana Restaurant",3,42.37055,-71.09713
"395","O Ya",4,42.3514083135866,-71.056866645813
"396","Regina Pizza",2,42.3654185550275,-71.0568833173494
"397","SRV Boston",3,42.3409180006501,-71.0816150531173
"398","Sorellina",4,42.3488367161261,-71.0779036594912
"399","Tres Gatos",2,42.31907,-71.11164
"400","Craigie On Main",4,42.3634817952265,-71.0986128859795
"401","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"402","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"403","Toro",3,42.3369631861411,-71.0758940796503
"404","Giacomo's Ristorante",2,42.36458,-71.05344
