,address,others,price
275,"656 Tremont St APT 8, Boston, MA",1 bd · 1 ba · 540 sqft,"$2,500/mo"
276,"Albany St, Boston, MA",2 bds · 1.5 ba · -- sqft,"$3,450/mo"
277,"143 W Canton St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,400/mo"
278,"Tremont St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,250/mo"
279,"103 E Brookline St APT 3, Boston, MA","2 bds · 1 ba · 9,999 sqft","$2,995/mo"
280,"142 W Concord St # 4, Boston, MA",2 bds · 1 ba · 850 sqft,"$4,000/mo"
281,"3 Worcester Sq APT 7, Boston, MA",1 bd · 1 ba · 800 sqft,"$2,100/mo"
282,"Massachusetts Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
283,"220 W Springfield St APT 2A, Boston, MA",1 bd · 1 ba · 608 sqft,"$3,000/mo"
284,"Northampton St, Boston, MA",3 bds · -- ba · -- sqft,"$3,900/mo"
285,"Washington St, Boston, MA",2 bds · -- ba · -- sqft,"$3,000/mo"
286,"Newcomb St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
287,"Washington St, Boston, MA",1 bd · 1 ba · 755 sqft,"$3,931/mo"
288,"639 Tremont St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,925/mo"
